iter	Passed	Remaining
907	2838	287
908	2841	284
909	2844	281
910	2847	278
911	2850	275
912	2854	272
913	2858	268
914	2861	265
915	2864	262
916	2867	259
917	2869	256
918	2873	253
919	2876	250
920	2879	246
921	2882	243
922	2885	240
923	2889	237
924	2892	234
925	2895	231
926	2898	228
927	2902	225
928	2904	221
929	2907	218
930	2910	215
931	2913	212
932	2916	209
933	2919	206
934	2922	203
935	2925	200
936	2928	196
937	2931	193
938	2934	190
939	2937	187
940	2940	184
941	2943	181
942	2946	178
943	2949	174
944	2952	171
945	2954	168
946	2958	165
947	2960	162
948	2963	159
949	2966	156
950	2969	153
951	2973	149
952	2976	146
953	2979	143
954	2982	140
955	2985	137
956	2988	134
957	2990	131
958	2994	128
959	2997	124
960	3000	121
961	3004	118
962	3007	115
963	3010	112
964	3012	109
965	3016	106
966	3019	103
967	3022	99
968	3025	96
969	3028	93
970	3031	90
971	3034	87
972	3037	84
973	3040	81
974	3043	78
975	3046	74
976	3049	71
977	3052	68
978	3055	65
979	3058	62
980	3061	59
981	3063	56
982	3066	53
983	3069	49
984	3072	46
985	3075	43
986	3077	40
987	3080	37
988	3083	34
989	3086	31
990	3088	28
991	3091	24
992	3094	21
993	3097	18
994	3100	15
995	3102	12
996	3105	9
997	3108	6
998	3110	3
999	3113	0
